qid,label_fr,description_fr,title_fr_uuid,title_fr,title_fr_ref1_hash,title_fr_ref1_referenceUrl,title_fr_ref1_retrieved_nodeId,title_fr_ref1_retrieved_val,title_fr_ref1_retrieved_prec
Q106577288,Astronomes parisiens observant la Comète,,40668C7C-B229-4243-88E5-89D0F8CFCE6C,Astronomes parisiens observant la Comète,,,,,
Q103299382,Deux Landaises,,ADF1956E-429C-4E11-817C-158200E50E53,Deux Landaises,,,,,
Q102964795,Epouvantee de l'heritage,,B2960D35-2F38-463E-8371-6151C153B605,Epouvantee de l'heritage,,,,,
Q102964858,"Face aux IST/sida, ne comptez pas sur la chance. Mettez un preservatif.",,97293CAB-C2F2-4C79-A911-31857224BB25,"Face aux IST/sida, ne comptez pas sur la chance. Mettez un preservatif.",,,,,
Q103299814,Femme Assise,,6B7F3DC3-970B-4C7A-A7F1-966F7A5ADD05,Femme Assise,,,,,
Q102964969,"Femme nue couchée, tournée à droite",,D6C416E2-BAB9-4BDB-9A49-64439B5C10B7,"Femme nue couchée, tournée à droite",,,,,
Q103299836,"Femme, Oiseaux, Étoiles",,7D1ED373-FF45-4361-8A6E-44BD06CDFC5D,"Femme, Oiseaux, Étoiles",,,,,
Q102964981,Femmes de l'Isle de l'Argentière,,4D3A5C69-0E17-4136-8621-97450C0B3813,Femmes de l'Isle de l'Argentière,,,,,
Q102966715,Jeune Fille à La Chevelure Longue,,13672E1C-6E7A-447D-96C5-A61A2E675B63,Jeune Fille à La Chevelure Longue,,,,,
Q102967108,L'empire c'est la paix.,,E97A3DEB-8F7B-40C6-93A2-CBD0DBE5A0BA,L'empire c'est la paix.,,,,,
Q106566936,L’entrée du grand tunnel d’un chemin de fer.,,31F87D15-A0ED-477A-B0D8-F6B1CA95C0CC,L’entrée du grand tunnel d’un chemin de fer.,,,,,
Q103302285,La Légende du Bonhomme Misère,,C2C827AD-52BB-4BEF-B6EB-CDD672A1BE32,La Légende du Bonhomme Misère,,,,,
Q103302324,La Normandie,,C79DE88D-BB98-45A4-B8BA-E77984824351,La Normandie,,,,,
Q102967209,La Plaine Prés Du Lac,,2c51f1b7-4a43-b2fa-5793-62bf3b2a9472,La Plaine Prés Du Lac,,,,,
Q102967945,Le Bouquet,,8B84310E-FAA9-4C7A-9510-1A56ADC114B7,Le Bouquet,,,,,
Q103304476,Le chapeau épinglé,,642CEE6A-B078-4EF2-A16F-F2960FCF1157,Le chapeau épinglé,,,,,
Q103304492,Le Denicheur de Moineaux,,7454E493-B1C9-4959-8E7F-F3E4EC9B7AD1,Le Denicheur de Moineaux,,,,,
Q102967989,Le revers de la Médaille de Sainte-Hélène,,12049EB5-7192-4D63-A5EF-F765F6F5CDF9,Le revers de la Médaille de Sainte-Hélène,,,,,
Q105095874,Le sida est beau cet ete protegez-vous,,2D1563A8-3C87-4DBD-9C25-F03F802E66CC,Le sida est beau cet ete protegez-vous,,,,,
Q103304540,Le Veillée,,B539599D-76F1-4567-BF10-001981B4D343,Le Veillée,,,,,
Q103304543,Le Vieux Roi,,DA450DA6-3C2C-4437-A81C-0FBC543E31AB,Le Vieux Roi,,,,,
Q103312213,Plates d'eau,,6AA2C6EA-1FCB-4059-89D8-AC0A17C3803C,Plates d'eau,,,,,
Q102970011,Préparant les étrennes pour son peuple,,D88AF590-1859-4815-98F2-BFF543A96B27,Préparant les étrennes pour son peuple,,,,,
Q104032271,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin",impression de Joán Miró 2002.041.001,1295AEF2-D274-4D91-AAD7-B0995F6A8D64,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin",,,,,
Q104032272,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin",impression de Joán Miró 2002.041.002,B640EFED-46D2-4082-ABCF-AC812C94461C,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin",,,,,
Q102970226,Rationnement du pain. Un monsieur allant dîner en ville.,,9594FF7F-E58D-429E-B7E4-16017B869EAD,Rationnement du pain. Un monsieur allant dîner en ville.,,,,,
Q103308282,Septieme Cahier de Trophées de Musique #6,,CD1F3513-9C19-4925-B720-1127D98BA9CA,Septieme Cahier de Trophées de Musique #6,,,,,
Q102973152,Square Napoléon,,3DF2F594-4067-4652-9BE1-4499E464294A,Square Napoléon,,,,,
Q102975718,Un paysage en 1870,,9D5D3DD5-5E02-4F33-A17F-1EB80C35DA77,Un paysage en 1870,,,,,
Q102975733,Une Poignee,,3B5B71A3-18FB-4F96-B7F5-5ECD5405C52D,Une Poignee,,,,,
Q102976694,Veue d'un coin de Calais,,6180856A-FC24-42FF-B3E8-84E6CE1A8BBE,Veue d'un coin de Calais,,,,,
